mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
748.4884163856507,4.652161256076036,1.0289235591888428,0.14613851355474414,0.8,100,1,4,0.2,1.5,0.8,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 1.5, 'colsample_bytree': 0.8}",0.8203601408353796,0.9595088276956797,0.9604244962228105,0.9614621276071784,0.9598369693681346,0.9323180411556543,0.05598347439518277,2,0.9678204518351037,0.9412918030961565,0.9420133940815566,0.9418894013337404,0.9417690485234924,0.9469568197740099,0.01043467981793734
1243.7444591999054,4.539468535904278,1.1722617626190186,0.1374153307664497,1.0,200,1,4,0.1,1.5,0.6,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 1.5, 'colsample_bytree': 0.6}",0.8264201450005311,0.9648742354432773,0.9653040120800853,0.9665201264460122,0.965559450142303,0.9377351259187653,0.055660689260283516,1,0.9722476599615064,0.9479727604865255,0.9479827352255568,0.947677770146461,0.9483302513804862,0.9528422354401073,0.009704913512629025
452.67961745262147,4.795029889898485,0.614698076248169,0.01979508716969959,0.8,50,5,4,0.0001,2,1.0,"{'subsample': 0.8, 'n_estimators': 50, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.0001, 'gamma': 2, 'colsample_bytree': 1.0}",0.6187450821028875,0.7017656385464012,0.6918408889998489,0.6987192895750558,0.692971739673174,0.6808082992865444,0.031246084167849665,8,0.7007726704898123,0.6849296929604564,0.6807427272852519,0.6836588098053273,0.6812065349460102,0.6862620870973717,0.0074179686906202524
306.02219734191897,4.989700292724581,0.6447816848754883,0.029853666205155793,0.6,100,1,2,0.0001,0.5,0.6,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.0001, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.6143513884402276,0.6997414418872231,0.6835076432123213,0.6849672483415992,0.6855130919345285,0.673615978554582,0.03020971696724812,9,0.6939707950403659,0.681121567782141,0.6700024244390359,0.66854444939172,0.6710570447889215,0.6769392562884369,0.009599561164489637
334.35659408569336,5.165806881232957,0.6514671325683594,0.03776183829848315,0.6,50,10,3,0.001,5,1.0,"{'subsample': 0.6, 'n_estimators': 50, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.001, 'gamma': 5, 'colsample_bytree': 1.0}",0.6185466589769573,0.7088773744934991,0.7001277147825625,0.703796427729444,0.7009165756190286,0.6864526975056149,0.03409160772063261,7,0.7012165245019839,0.690763050268495,0.6874087321356079,0.6866248066517796,0.6869118097377749,0.6905849846591283,0.005519513578883249
454.1372402191162,17.092876809967862,0.6153054714202881,0.04406590031019785,0.6,100,1,2,0.0001,5,1.0,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.0001, 'gamma': 5, 'colsample_bytree': 1.0}",0.5895889207577131,0.6781850596734775,0.6726644473289929,0.6761688237953207,0.6650470908889226,0.6563306189766146,0.033670373092970156,10,0.6508668642136617,0.6611489450263636,0.6602043388109498,0.6608019298675543,0.6522550558330669,0.6570554267503192,0.004517758113548548
1989.587570476532,66.27247804947025,1.099069881439209,0.05202188954878385,0.8,200,5,5,0.001,0.5,1.0,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.001, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.6728026683399119,0.7852523593761767,0.773316646330291,0.7818393819245514,0.7776749725234914,0.7581768816369858,0.04287484228484465,5,0.7804856532152291,0.7687594094693659,0.7609236665116189,0.7646698601218339,0.7636507980553656,0.7676978774746827,0.006871560720153034
466.75435667037965,3.941189009751912,0.6453425407409668,0.025082471238619234,0.6,100,1,3,0.001,1.5,0.8,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.001, 'gamma': 1.5, 'colsample_bytree': 0.8}",0.6341756461006616,0.7287669974287009,0.7156497715363455,0.7219231856620981,0.7184438458800377,0.7037916411801632,0.03508359750146667,6,0.7252113521479563,0.7098457416168015,0.7018341110876128,0.7038194830647103,0.7027135719217921,0.7086848519677746,0.008726207922578246
237.66550784111024,2.055288109405006,0.5875980377197265,0.023694336798418824,0.6,50,1,3,0.3,0.5,0.8,"{'subsample': 0.6, 'n_estimators': 50, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.3, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.7849661650007218,0.9337744702026647,0.934870096829781,0.93576915569177,0.9342652451751189,0.9047285223198144,0.05988549989600642,3,0.9434804109784595,0.9083633796546127,0.9083806192198336,0.9077693031084388,0.9085926379311765,0.9153172701785042,0.014084237326965135
142.7229054450989,7.958862524539445,0.5224662303924561,0.03640563206274712,0.8,50,5,2,0.3,1,0.6,"{'subsample': 0.8, 'n_estimators': 50, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.3, 'gamma': 1, 'colsample_bytree': 0.6}",0.7708194762945524,0.9165864300529407,0.9160972535541795,0.9205261253163622,0.9181774878947324,0.8884408572584168,0.058831597885459795,4,0.9251389326873275,0.8889055415568101,0.8881559842539194,0.8888720234248083,0.8899478370596581,0.8962040637965047,0.014478714293273567
